ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"AGRIS:US2016213836";"Optimal Patentability Requirements with Fragmented Property Rights";"";"We study the effect of the fragmentation of intellectual property rights on optimal patent design. The major finding is that when several complementary innovative components must be assembled to operate a new technology, the patentability requirements should be stronger than in the case of stand-alone innovation. This reduces the fragmentation of intellectual property, which is socially costly. However, to preserve the incentives to innovate,if a patent is granted the strength of protection should be generally higher than in the stand-alone case.";"Denicolo, Vincenzo
Halmenschlager, Christine";"";"";"AGRIS";"2010-11-31";"en";"";"";"";"";"Policy Papers & Briefs";"http://agris.fao.org/agris-search/search.do?recordID=US2016213836";"http://purl.umn.edu/98051";"";"";"";""
"AGRIS:US201301619070";"Effects of Slash on Herbaceous Communities in Pinyon-Juniper Woodlands of Northern Arizona";"";"Scattering slash (downed woody materials) after tree removal is increasingly prescribed by land managers as a treatment to promote the establishment and growth of understory vegetation in pinyon-juniper woodlands. However, the effects of scattering slash on soil resources and plant communities are poorly understood and often confounded with the release from tree competition. In order to examine how slash affects plant establishment, soil stability, soil nutrients, and soil microbiota, we initiated a 2 x 2 full factorial experiment with two levels of seeding and two levels of slash additions within 30 intercanopy spaces, repeated at two intact pinyon-juniper woodland sites with different soil characteristics in northwestern Arizona. Pretreatment data were collected in 2003 and posttreatment responses were measured in 2004 and 2005. Total plant cover increased within all treatments; however, grasses increased significantly only in the seed-and-slash treatment at both sites. In addition, a greater proportion of seed-and-slash plots contained more reproductively active grasses compared to seed-only plots. Slash treatments also resulted in significantly less sediment movement compared to nonslash treatments. Changes in soil nutrients were not observed, except available NO3-N decreased significantly in slash treatments. Arbuscular mycorrhizal potential and microbial biomass carbon increased as a result of the slash treatment. Addition of woody materials appeared to have general effectiveness at improving the ecological function of soils and promoting understory establishment and thus may be considered a desirable treatment for improving degraded conditions.";"Stoddard, Michael T.
Huffman, David W.
Alcoze, Thom M.
Fulé, Peter Z.";"";"";"AGRIS";"2008-12-31";"en";"land management;rangelands";"Rangelands, Drylands & Pastoralism";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201301619070";"http://dx.doi.org/10.2111/07-075.1";"";"";"";"485-495"
"AGRIS:US201300824847";"Effects of agri-environmental measures, site and landscape conditions on butterfly diversity of Swiss grassland";"";"Agri-environment schemes (AES) were introduced in Europe to mitigate the loss of biodiversity in cultivated landscapes. In Switzerland, farmers have to convert 7% of the arable land into ecological compensation areas (ECA) in order to enhance biodiversity, low-input grassland making up the major part of ECA. This study investigated during 6 years the effect of ECA grassland on butterfly diversity at the field and the landscape scales in two farming landscape units of the Swiss Plateau. Butterfly diversity was compared between low-input and conventional grasslands, controlling for potential influence of local site conditions and landscape context of grasslands. Low-input management of ECA grasslands had a significant impact on butterfly communities, but ECA and conventional grasslands differed more in the composition of species assemblages than in the number of butterfly species. The typical butterfly assemblages on ECA grassland might be linked to the slightly higher plant species richness due to management restrictions. However, the effectiveness of ECA grassland for promoting butterfly diversity varied according to local site conditions (field slope and orientation) and to the amount of ECA and semi-natural elements in the surrounding landscape. Thus, the present study underlines the necessity to account for such environmental variation at multiple scales to be able to detect and interpret effects of AES. Nevertheless, our results suggest that additional restoration measures should be adopted. Especially, the ECA scheme should promote a connected network of ECA grasslands and semi-natural habitats at the landscape scale.";"Aviron, S.
Jeanneret, P.
Schupbach, B.
Herzog, F.";"";"";"AGRIS";"2007-12-31";"en";"land management";"";"Land Use, Management & Investment";"150;CHE";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201300824847";"http://dx.doi.org/10.1016/j.agee.2006.12.035";"";"";"";"295-304"
"AGRIS:US201500204859";"Modeling relationships between catchment attributes and river water quality in southern catchments of the Caspian Sea";"";"Increasing land utilization through diverse forms of human activities, such as agriculture, forestry, urban growth, and industrial development, has led to negative impacts on the water quality of rivers. To find out how catchment attributes, such as land use, hydrologic soil groups, and lithology, can affect water quality variables (Ca²⁺, Mg²⁺, Na⁺, Cl⁻, HCO₃⁻, pH, TDS, EC, SAR), a spatio-statistical approach was applied to 23 catchments in southern basins of the Caspian Sea. All input data layers (digital maps of land use, soil, and lithology) were prepared using geographic information system (GIS) and spatial analysis. Relationships between water quality variables and catchment attributes were then examined by Spearman rank correlation tests and multiple linear regression. Stepwise approach-based multiple linear regressions were developed to examine the relationship between catchment attributes and water quality variables. The areas (%) of marl, tuff, or diorite, as well as those of good-quality rangeland and bare land had negative effects on all water quality variables, while those of basalt, forest land cover were found to contribute to improved river water quality. Moreover, lithological variables showed the greatest most potential for predicting the mean concentration values of water quality variables, and noting that measure of EC and TDS have inversely associated with area (%) of urban land use.";"Hasani Sangani, Mohammad
Jabbarian Amiri, Bahman
Alizadeh Shabani, Afshin
Sakieh, Yousef
Ashrafi, Sohrab";"";"Springer";"AGRIS";"2015-12-31";"en";"land cover;urbanization;land use;forestry;rangelands";"Urban Tenure;Forest Tenure;Rangelands, Drylands & Pastoralism";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500204859";"http://dx.doi.org/10.1007/s11356-014-3727-5";"";"";"";"4985-5002"
"AGRIS:US2016203035";"Land use policies and practices for reducing vulnerability in rural Tajikistan";"";"Tajikistan, with 93% of its surface area taken up by mountains and 65% of its labor forceemployed in agriculture, is judged to be highly vulnerable to risks, including climate changerisks and food insecurity risks. The article examines a set of land use policies and practices thatcan be used to mitigate the vulnerability of Tajikistan’s large rural population, primarily byincreasing family incomes. Empirical evidence from Tajikistan and other CIS countries suggeststhat families with more land and higher commercialization earn higher incomes and achievehigher well-being. The recommended policy measures that are likely to increase rural familyincomes accordingly advocate expansion of smallholder farms, improvement of livestockproductivity, increase of farm commercialization through improvement of farm services, andgreater diversification of both income sources and the product mix. The analysis relies forsupporting evidence on official statistics and recent farm surveys. Examples from localinitiatives promoting sustainable land management practices and demonstrating theimplementation of the proposed policy measures are presented";"Lerman, Zvi
Wolfgramm, Bettina";"";"";"AGRIS";"2011-12-31";"";"sustainable land management;agriculture";"Land, Climate change & Environment";"Land Use, Management & Investment";"TJK";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US2016203035";"http://purl.umn.edu/119834";"";"";"";""
"AGRIS:US201600199192";"Impacts of 48 years of consistent cropping, fertilization and land management on the physical quality of a clay loam soil";"";"Reynolds, W. D., Drury, C. F., Yang, X. M., Tan, C. S. and Yang, J. Y. 2014. Impacts of 48 years of consistent cropping, fertilization and land management on the physical quality of a clay loam soil. Can. J. Soil Sci. 94: 403â419. Soil physical quality (SPQ) is often ignored or under-monitored in long-term field studies designed to determine the economic and environmental sustainability of agricultural practices. Accordingly, a suite of complementary soil physical and hydraulic parameters was measured using intact core samples to determine the SPQ of a Brookston clay loam under a long-term (48 yr) cropping, fertilization and land management study at Woodslee, Ontario. The SPQ under virgin woodlot, fertilized monoculture sod and unfertilized monoculture sod treatments was similar, with optimal SPQ occurring in the top 10â20 cm, but severely suboptimal SPQ occurring below 30 cm because bulk density (BD), relative field capacity (RFC) and saturated hydraulic conductivity (KS) were excessive, and because organic carbon (OC), air capacity (AC) and plant-available water capacity (PAWC) were critically low. The SPQ for fertilized and unfertilized monoculture corn under fall moldboard plow tillage was similar and substantially suboptimal throughout the top 40â50 cm due to high or excessive BD and RFC, critically low OC, low or critically low AC and PAWC, and KS that varied erratically from excessive to critically low. The SPQ under fertilized and unfertilized cornâoatâalfalfaâalfalfa rotations (corn and second-year alfalfa fall plowed) was similar and largely non-optimal below 10 cm, but largely optimal in the top 10 cm due to the ameliorating effects of numerous biopores and crop roots. A bimodal soil water release function fitted to release curve data showed that PAWC was determined by soil matrix porosity (PM), and AC was determined by soil structure porosity (PS). Strong inverse linear correlations between BD vs. PM, BD vs. PS and BD vs. OC provided site-specific estimates of optimal ranges and critical limits for PAWC, AC and OC, respectively. Although SPQ changed substantially among treatments, the changes did not extend below 30-to 40-cm depth, and were largely unaffected by long-term annual fertilization. The SPQ below 30- to 40-cm depth was similarly poor across all treatments, and is likely an inherent characteristic of the soil.";"Reynolds, W. D.
C. F. Drury
X. M. Yang
C. S. Tan
J. Y. Yang";"";"Agricultural Institute of Canada";"AGRIS";"2014-12-31";"en";"land management";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600199192";"http://dx.doi.org/10.4141/cjss2013-097";"";"";"";"403-419"
"AGRIS:US201600191340";"new view on EU agricultural landscapes: Quantifying patchiness to assess farmland heterogeneity";"";"Mapping and assessment of ecosystem services in agricultural landscapes as required by the EU biodiversity policy need a better characterization of the given landscape typology according to its ecological and cultural values. Such need should be accommodated by a better discrimination of the landscape characteristics linked to the capacity of providing ecosystem services and socio-cultural benefits. Often, these key variables depend on the degree of farmland heterogeneity and landscape patterns. We employed segmentation and landscape metrics (edge density and image texture respectively), derived from a pan-European multi-temporal and multi-spectral remote sensing dataset, to generate a consistent European indicator of farmland heterogeneity, the Farmland Heterogeneity Indicator (FHI). We mapped five degrees of FHI on a wall-to-wall basis (250m spatial resolution) over European agricultural landscapes including natural grasslands. Image texture led to a clear improvement of the indicator compared to the pure application of Edge Density, in particular to a better detection of small patches. In addition to deriving a qualitative indicator we attributed an approximate patch size to each class, allowing an indicative assessment of European field sizes. Based on CORINE land cover, we identified pastures and heterogeneous land cover classes as classes with the highest degree of FHI, while agroforestry and olive groves appeared less heterogeneous on average. We performed a verification based on a continental and regional scale, which resulted in general good agreement with independently derived data.";"Weissteiner, Christof J.
Celia GarcÃ­a-Feced
Maria Luisa Paracchini";"";"Elsevier";"AGRIS";"2016-12-31";"en";"land cover";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600191340";"http://dx.doi.org/10.1016/j.ecolind.2015.09.032";"";"";"";"317-327"
"AGRIS:QL2013000191";"The Nile River Basin: water, agriculture, governance and livelihoods";"";"";"Awulachew, Seleshi Bekele
Smakhtin, Vladimir
Molden, David
Peden D.";"";"Routledge";"AGRIS";"2012-12-31";"en";"food security;farming systems;water management;land management;poverty;climate change";"Land, Climate change & Environment;Land & Food Security";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=QL2013000191";"http://www.iwmi.cgiar.org/Publications/Books/PDF/the_nile_river_basin-water_agriculture_governance_and_livelihoods.pdf";"";"";"";"316"
"AGRIS:US201600191346";"Analysis of temporal change in delivery of ecosystem services over 20 years at long term monitoring sites of the UK Environmental Change Network";"";"The drivers and pressures experienced by farmland, forestry and upland sites in the UK Environmental Change Network (ECN) over the last 20 years are reported through the lens of recognised approaches to the assessment of ecosystem service delivery. Temporal trends in ecosystem service delivery were examined using two methods: qualitative narratives and quantitative scoring of ecosystem service delivery according to land cover. While all sites included in this study are within the same national governance unit (i.e. UK), individual local management decisions were the main agents driving change, influenced by EU and national policies. Gradual change in focus from provisioning to cultural ecosystem services was a persistent trend across most sites, and apparent in both methods. There was generally no net loss in regulating services at the sites. The two methods were subjective but as data were not available for the breadth of ecosystem services present at the sites between 1993 and 2012, it was concluded that it is more informative for holistic assessments to draw on qualitative expert opinion than to ignore less quantifiable services such as many of the cultural services.";"Dick, J.
C. Andrews
D.A. Beaumont
S. Benham
N. Dodd
D. Pallett
R. Rose
T. Scott
R. Smith
S.M. SchÃ¤fer
A. Turner
H. Watson";"";"Elsevier";"AGRIS";"2016-12-31";"en";"forestry;land cover";"Forest Tenure";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600191346";"http://dx.doi.org/10.1016/j.ecolind.2016.02.021";"";"";"";"115-125"
"AGRIS:US201500210896";"Accuracy Evaluation of an ASTER-Derived Global Digital Elevation Model (GDEM) Version 1 and Version 2 for Two Sites in Western Africa";"";"This study compares the ASTER Global DEM version 1 (GDEMv1) and version 2 (GDEMv2) for two study sites with distinct terrain and land cover characteristics in western Africa. The effects of land cover, slope, relief, and stack number are evaluated through both absolute and relative DEM statistical comparisons. While GDEMv2 at times performed better than GDEMv1, this improvement was not consistent, revealing the complex nature and interaction of terrain and land cover characteristics, which influences the accuracy of GDEM tiles on local and regional scales.";"Chirico, Peter G.
Malpeli, Katherine C.
Trimble, Sarah M.";"";"Taylor & Francis Group";"AGRIS";"2012-12-31";"en";"land cover";"";"Land Use, Management & Investment";"002";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500210896";"http://dx.doi.org/10.2747/1548-1603.49.6.775";"";"";"";"775-801"
