ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"AGRIS:US201600013603";"Mapping and spatial characterization of Argentine High Andean peatbogs";"";"Peatbogs are the most productive and biodiversity rich ecosystems of high dry Puna region, and provide essential ecosystems services to local inhabitants. Despite their ecological and economic importance, the geographic patterns and distribution of peatbogs as well the dynamic of this system are barely known. In this work we (1) identified and mapped subtropical Argentine High Andean peatbogs based in a supervised classification of Landsat images, and a posteriori spatial processing to define functional units; (2) used such classification to characterize the whole Argentina Puna region (14.3 million hectares) in terms of their geographic patterns of peatbogs; and (3) characterized the region’s sub-watersheds according to their peatbogs density and geographic characteristics. The post-process map reports a total area of peatbogs of 94427.55 ha (0.66 % of total study area) with 10,428 polygons. The majority of peatbogs are small or median (i.e., 21.8 % of total area included <10 ha, while 24.5 % of total area are peatbogs from 10 to 50 ha), but only two peatbogs with >10,000 ha represent 18 % of total area. Peatbogs density is spatially heterogeneous, with much higher density in the north and central east of the study area. Sub-watershed can be grouped into six main groups according to the percentage of peatbogs cover, mean size of peatbogs and altitude. The combination of basic information, such as map of peatbogs cover with spatial patterns characterization, is a priority input for the conservation planning of this extensive and valuable ecosystem, and to ongoing land use planning initiatives.";"Izquierdo, Andrea E.
Foguet, Javier
Ricardo Grau, H.";"";"Springer";"AGRIS";"2015-12-31";"en";"land use planning;area";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600013603";"http://dx.doi.org/10.1007/s11273-015-9433-3";"";"";"";"963-976"
"AGRIS:US201600088882";"Effects of seasonal variation and land cover on riparian denitrification along a mid-sized river";"";"Urban areas contribute disproportional nitrogen (N) loads to downstream aquatic ecosystems resulting in potential hypoxic ‘dead’ zones. Riparian areas along streams and rivers reduce inorganic N concentrations through denitrification, an anaerobic microbial process. Our study objective was to investigate the denitrification potential of riparian areas with differing land cover composition along the Licking River in Kentucky, USA – a tributary of the Ohio River. For one year we collected monthly samples from four sites along a 60 km reach of the Licking River. We experienced substantial drought conditions in the first half of our study period followed by record precipitation and flooding in the second half of our study period. Land cover surrounding the sample sites was classified into distinct classes hypothesized to contribute to N loads. We found flooding increased denitrification potential, water nitrate concentration, and soil organic matter, while drought conditions increased soil ammonium concentrations. Our site with the greatest impervious surface had the highest denitrification potential, and soil and water ammonium concentrations. However, we determined that denitrification potential was mostly driven by soil organic matter content and only slightly by soil nitrate among all study sites. Our data demonstrate that riparian zones of mid-sized rivers in urban areas can be integral in removing excess N during flood events and can do so year-round provided sufficient N and carbon resources are present.";"Hopfensperger, Kristine N.
Schwarz, Kirsten
Kirtman, Esther Renee";"";"Taylor & Francis Group";"AGRIS";"2014-12-31";"en";"land cover;urban areas";"";"Land Use, Management & Investment";"USA";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600088882";"http://dx.doi.org/10.1080/02705060.2014.933717";"";"";"";"457-473"
"AGRIS:US201600088881";"Influence of catchment land cover on stoichiometry and stable isotope compositions of basal resources and macroinvertebrate consumers in headwater streams";"";"Anthropogenic land use affects aquatic landscapes. For example, landscape-level conversion to urban or agricultural land can heavily influence nutrient cycles in headwater streams via increased nutrient loading and altered hydrologic patterns. Recent studies in headwater streams have found that the stoichiometry and stable isotope compositions of basal resources and consumers can vary as a result of landscape-level change. To this end, we examined the stoichiometry and stable isotope compositions (δ ¹³C and δ ¹⁵N) of headwater stream flora and fauna in 16 streams located within forested, agricultural, urban, and mixed (urban, forested, and agricultural) catchments. Our results suggest basal resource stoichiometry varied across streams, with leaf litter being the most variable basal resource. Macroinvertebrate consumers maintained stoichiometric homeostasis across stream groups, but consumer stoichiometry differed across families. Values of δ ¹³C did not vary across stream groups for basal resources; however, consumer δ ¹³C did. Although δ ¹⁵N did not differ among basal resources across stream groups, macroinvertebrate consumer δ ¹⁵N differed because of the interaction between stream group and family. Our results show catchment land cover did not predictably alter the stoichiometry or stable isotope compositions of basal resources or consumers in headwater streams. The quality of basal resources in headwater streams could differ across catchments with varying land cover, but it is evident that differences in stoichiometry of basal resources did not lead to differences in stoichiometry of consumers in our study. Given the variability of stable isotope compositions, additional effort should be made to improve our understanding of the landscape factors that might influence isotopic data.";"Milanovich, Joseph R.
Berland, Adam
Hopton, Matthew E.";"";"Taylor & Francis Group";"AGRIS";"2014-12-31";"en";"land cover;land use";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600088881";"http://dx.doi.org/10.1080/02705060.2014.933450";"";"";"";"565-578"
"AGRIS:US201600191241";"Assessing ecological integrity: A multi-scale structural and functional approach using Structural Equation Modeling";"";"Facing increasing levels of ecosystem degradation, scientists and practitioners aim to preserve ecological integrity â to maintain structures and functions expected of ecosystems in a region. This requires an understanding of the relationship between structural components and functional integrity. In this paper we focused on the study forests of the Credit River Watershed (Southern Ontario, Canada). For this ecosystem we consider one of the major contributors to functional integrity: habitat functions which are defined as the capacity of the ecosystem to provide refuge and reproduction habitat to wild species of plants and animals. We define these âhabitat functionsâ as a latent variable in Structural Equation Modeling, which allows us to examine its relationship with a number of candidate indicators. We first determined two community-level structural indicators to represent the latent variable: native plant cover and forest bird abundance. We then found underlying causal relationships between multi-scale structural components of the ecosystem and the provision of habitat functions. Three variables at the local scale explain native plant cover â soil nitrogen, soil organic matter, and soil pH. A significant landscape-level variable, patch area, explained native plant cover. Percent natural land cover in a 500m radius explained forest bird abundance. From a theoretical point of view, this modeling technique allows us to explore complex and simultaneous interactions between structures and functions of ecosystems. As for its practical applications, it can be used to improve ecological integrity monitoring programs by contributing to the selection of meaningful indicators.";"Capmourteres, Virginia
Madhur Anand";"";"Elsevier";"AGRIS";"2016-12-31";"en";"land cover";"";"Land Use, Management & Investment";"CAN";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600191241";"http://dx.doi.org/10.1016/j.ecolind.2016.07.006";"";"";"";"258-269"
"AGRIS:US201600194404";"From the redwood forest to the Gulf Stream waters: human signature nearly ubiquitous in representative US landscapes";"";"What landscapes best represent the land uses and land covers (LU/LC) of the continental United States? Would the set include a cornfield? A forest? A backyard? Combining principles of landscape ecology and computer science, we identified a small set of âexemplar landscapesâ, representing distinct LU/LC pattern types of the conterminous US. We first partitioned the 1992 US National Land Cover Dataset into 193 705 landscapes, and quantified patterns with standard measures of LU/LC composition and configuration. Using the values to estimate similarity of LU/LC patterns between landscapes, we applied an algorithm developed to find representatives in large sets. In the resulting 17âmember set of exemplar landscapes, patterns created and managed by human activity are by far the most evident features. This set of representatives summarizes the nation's LU/LC, demonstrating the degree to which humanâinfluenced patterns dominate: aggregations of rectangular fields, farmlands within cleared forests, shrublands/pasture, and suburbs. The algorithm's selection of an exemplar for each group may have other ecological applications when an objectively determined subset of representative items is needed.";"Cardille, Jeffrey A
Marie Lambois";"";"Ecological Society of America";"AGRIS";"2010-12-31";"en";"land cover;land use";"";"Land Use, Management & Investment";"USA";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201600194404";"http://dx.doi.org/10.1890/080132";"";"";"";"130-134"
"AGRIS:US201500212254";"Successional and seasonal variations in soil and litter microbial community structure and function during tropical postagricultural forest regeneration: a multiyear study";"";"Soil microorganisms regulate fundamental biochemical processes in plant litter decomposition and soil organic matter (SOM) transformations. Understanding how microbial communities respond to changes in vegetation is critical for improving predictions of how land‐cover change affects belowground carbon storage and nutrient availability. We measured intra‐ and interannual variability in soil and forest litter microbial community composition and activity via phospholipid fatty acid analysis (PLFA) and extracellular enzyme activity across a well‐replicated, long‐term chronosequence of secondary forests growing on abandoned pastures in the wet subtropical forest life zone of Puerto Rico. Microbial community PLFA structure differed between young secondary forests and older secondary and primary forests, following successional shifts in tree species composition. These successional patterns held across seasons, but the microbial groups driving these patterns differed over time. Microbial community composition from the forest litter differed greatly from those in the soil, but did not show the same successional trends. Extracellular enzyme activity did not differ with forest succession, but varied by season with greater rates of potential activity in the dry seasons. We found few robust significant relationships among microbial community parameters and soil pH, moisture, carbon, and nitrogen concentrations. Observed inter‐ and intrannual variability in microbial community structure and activity reveal the importance of a multiple, temporal sampling strategy when investigating microbial community dynamics with land‐use change. Successional control over microbial composition with forest recovery suggests strong links between above and belowground communities.";"Smith, A. Peyton
Marín‐Spiotta, Erika
Balser, Teri";"";"Wiley-Blackwell";"AGRIS";"2015-12-31";"en";"land cover";"";"Land Use, Management & Investment";"PRI";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201500212254";"http://dx.doi.org/10.1111/gcb.12947";"";"";"";"3532-3547"
"AGRIS:QL2012000718";"Water use and water rights in Nepal:  Legal perspective";"";"";"Khadka, S. S.";"";"";"AGRIS";"1997-12-31";"en";"water rights;water management";"";"Land Use, Management & Investment;Access to Land & Tenure Security";"NPL";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=QL2012000718";"http://publications.iwmi.org/pdf/H020124.pdf";"";"";"";""
"AGRIS:US201301886132";"Rain Forest Conservation in a Tribal World: Why Forest Dwellers Prefer Loggers to Conservationists";"";"In Papua New Guinea, the fate of forests is governed by forest-dwelling tribal societies. A rapidly increasing pace of logging compels us to ask why tribal communities prefer logging to conservation. In the absence of feasible development opportunities, remote communities become quickly enthusiastic about conservation projects, but once an area is opened up to logging few such projects survive. Direct payments to forest owners to cover the costs of missed opportunities for economic development are advocated here to make conservation competitive. A conservation royalty scheme would deliver a higher proportion of the conservation funds to the resource owners than the management-intensive community development projects currently favored. Such an approach requires a profound cultural change within conservation organizations from a 'development aid' approach to one more oriented toward business.";"Novotny, Vojtech";"";"Wiley-Blackwell";"AGRIS";"2010-12-31";"en";"land rights";"";"Access to Land & Tenure Security";"";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201301886132";"http://dx.doi.org/10.1111/j.1744-7429.2010.00658.x";"";"";"";"546-549"
"AGRIS:US201300778956";"Collaborative R&D: intellectual property rights between Tsinghua University and multinational companies";"";"Tsinghua University, one of the top universities in China, has conducted a lot of collaborative R&D projects with multinational companies in the recent years. One of tough issues in the collaborative R&D is to deal with the intellectual property rights. The Chinese Patent Law and other relevant laws make Tsinghua University to look for more intellectual property rights. Several factors such as the input from the collaborative parties, the property of R&D, the relation between the collaborative project and the activities of R&D made before, or to be made after, the collaboration, and the life and potential market of the technologies play an important rule in the treatment of Intellectual property rights. The different collaborative models have different models of the distribution of intellectual property rights between the University and multinational companies.";"Wang, Bing
Ma, Jun";"";"Kluwer Academic Publishers";"AGRIS";"2007-12-31";"en";"";"";"";"CHN";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201300778956";"http://dx.doi.org/10.1007/s10961-006-9019-6";"";"";"";"457-474"
"AGRIS:US201400081862";"Asymmetric Ecological and Economic Responses for Rangeland Restoration: A Case Study of Tree Thickening in Queensland, Australia";"";"Economic motivation for implementing targeted responses to rangeland degradation often lag the events that cause degradation and existing monitoring schemes often lack the sensitivity or the connections to ecological processes to reliably serve as a basis for evaluating success. In this paper, we present an approach for quantifying the relationship of economic output and land degradation during the intermediate stages of degradation. We also propose an approach that can provide enhanced incentives to implement proven responses before degradation processes are entrained.";"MacLeod, Neil D.
Scanlan, Joe C.
Brown, Joel R.";"";"";"AGRIS";"2014-12-31";"en";"land degradation;rangelands";"Land, Climate change & Environment;Rangelands, Drylands & Pastoralism";"Land Use, Management & Investment";"AUS";"Journal Articles & Books";"http://agris.fao.org/agris-search/search.do?recordID=US201400081862";"http://handle.nal.usda.gov/10113/58817";"";"";"";"37-44"
