ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"FAODOCREP:55cefdc7-fba8-5019-9ac7-2993abd0b83d";"Genetics";"An international journal of forestry and forest industries";"Forestry Department
Office of Assistant Director-General (Forestry Department)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"1978-12";"en";"deforestation;environment;land improvement";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"AUS;009;USA;ITA";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/55cefdc7-fba8-5019-9ac7-2993abd0b83d";"http://www.fao.org/3/a-l1900e.htm";"http://www.fao.org/documents/contents/9c92c505-e562-5136-b5ac-ff857ad9f815_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"FAODOCREP:28e84f77-8fed-51b5-8864-cec5b78e8812";"Soil tillage in Africa: needs and challenges";"";"Land and Water Division
Deputy Directory-General Natural Resources ";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"1993-12";"en";"sustainable land management;farming systems;land management;environment";"Land, Climate change & Environment";"Land Use, Management & Investment";"BFA;LBR;NGA;ZAF;GEO;MLI;ZWE;ITA;GHA;VEN;SDN;NER;CMR";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/28e84f77-8fed-51b5-8864-cec5b78e8812";"http://www.fao.org/3/a-t1696e.htm";"http://www.fao.org/documents/contents/0ebe0fa1-2d50-56bd-8e25-6a980706f09d_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"FAODOCREP:b1ffb837-5fa5-4398-9178-1022eab7537f";"ДОСТУП К ЛЕСНЫМ ГЕНЕТИЧЕСКИМ РЕСУРСАМ И РАСПРЕДЕЛЕНИЕ ВЫГОД ОТ ИХ ИСПОЛЬЗОВАНИЯ ";"Meeting Name: Intergovernmental Technical Working Group on Forest Genetic Resources (of the CGRFA) - ITWG-FGR
Meeting symbol/code: CGRFA/WG-FGR-3/14/8   ";"LND08";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2014-05";"ru";"forestry;natural resources management";"Forest Tenure";"";"AUS";"Reports & Research";"http://www.fao.org/documents/card/en/c/b1ffb837-5fa5-4398-9178-1022eab7537f";"http://www.fao.org/3/a-mk423r.pdf";"http://www.fao.org/documents/contents/e3852cbb-f1ef-43c0-b166-ccdce34d7d91_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"12"
"FAODOCREP:c8776b54-a37d-496e-b10e-e07ad2239069";"Fisheries in the Drylands of sub-Saharan Africa";"The focus of this review has been on both documenting the general resilience of many fish resources to climatic variability and its underestimation in livelihood importance, including in protracted crisis situations, but also on enhancing the potential supply of fish from dryland areas by better use of the available water bodies, and in particular from small reservoirs. ";"van Zwieten, M.";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-05";"en";"natural resources management;climate change;water management;land management;fisheries";"Rangelands, Drylands & Pastoralism";"Land Use, Management & Investment";"BFA;NGA;USA;RWA;ZMB;MLI;BDI;NAM;002;GHA;SSD;018;MWI;NER;SDN;KEN;UGA;ITA;TZA;BWA;NLD;SEN;TCD;NOR";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/c8776b54-a37d-496e-b10e-e07ad2239069";"http://www.fao.org/3/a-i5616e.pdf";"http://www.fao.org/documents/contents/8a51700e-7840-4d19-b881-c27450702965_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"64"
"FAODOCREP:f66e86c7-f697-5bbb-8859-cd0b0920ac14";"Management of tropical sandy soils for sustainable agriculture";"Light textured sandy soils are ubiquitous throughout the tropics and constitute an important soil resource on which millions are dependent for their livelihoods. Spanning a range of rainfall regimes from the arid to the humid tropics, they present unique sustainability and environmental challenges to resource managers. Physical, chemical and biological characteristics of sandy soils often act as a severe limitation in crop production. Within the tropics, these soils are predominantly occupied by resource poor and often marginalized communities that have limited capacity to address the aforementioned biophysical challenges. By manipulating the constituent components of the soil through the addition and conservation of organic matter or through the physical application of organic waste and clay materials, the potential productivity of these soils can be realized. There are thus significant opportunities in developing innovative management strategies that enhance the productivity of these systems under the diverse range of climatic conditions in which these soils occur. This symposium brought together scientists, extension practitioners and policy-makers to exchange knowledge and experiences on land and water degradation of tropical sandy soils and their sustained management and remediation. This proceedings documents the 92 session papers presented at the symposium (58 oral and 34 poster papers).";"Regional Office for Asia and the Pacific
Agriculture Group";"Regional Office for Asia and the Pacific;Food and Agriculture Organization of the United Nations (FAO)";"Regional Office for Asia and the Pacific;Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2007-12";"en";"sustainable land management;environment;land management;land degradation";"Land, Climate change & Environment";"Land Use, Management & Investment";"AUS;142;THA;COG;ZAF;BRA";"Reports & Research";"http://www.fao.org/documents/card/en/c/f66e86c7-f697-5bbb-8859-cd0b0920ac14";"http://www.fao.org/3/a-ag125e.pdf";"http://www.fao.org/documents/contents/7d3bf536-2b50-52f1-907f-4054d7d9b0e7_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"536"
"FAODOCREP:3c8ddc12-7d7d-593c-afd6-5869273eef57";"Numero non thématique";"Revue internationale des forts et des industries forestires";"Forestry Department
Office of Assistant Director-General (Forestry Department)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"1956-12";"fr";"forest land;forest grazing;land clearing;grazing";"Forest Tenure";"";"GTM;CAN;CUB;PHL";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/3c8ddc12-7d7d-593c-afd6-5869273eef57";"http://www.fao.org/3/a-x5380f.htm";"http://www.fao.org/documents/contents/dc16f1c0-316e-590c-bc86-4fc9de257b95_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"FAODOCREP:94c6f8ea-9657-557f-b8c3-c0c4fc19f8a7";"El sector informal alimentario. Políticas municipales de apoyo a los operadores";"Los sistemas modernos de distribución de alimentos tienen la tendencia  a desarrollarse en ciertas ciudades en desarrollo y en transición  económica, pero las formas tradicionales de abastecimiento y de  distribución, que en muchos casos son informales, todavía tienen un rol  importante porque responden de mejor manera a las necesidades de  las familias pobres. Además, desempeñan el papel de generadoras de  empleo y de ingresos, así como también de productos, bienes y servicios  alimentarios adaptados a las exigencias particulares de los  consumidores urbanos. Por lo tanto, es primordial que estas actividades  sean reconocidas y apoyadas por las autoridades locales. Esta guía  quiere insistir en la importancia y el rol del sector informal en la  seguridad alimentaria de las ciudades. La guía presenta algunas formas  de intervención, de políticas locales de apoyo al sector informal  alimentario. Para ello, propone que se identifiquen de manera confiable  y actualizada las actividades de este sector y de sus actores (mediante  un enfoque participativo), que se comprendan los problemas que  generan esas actividades y que se los enfrente contando con la  participación de los actores.";"Rural Infrastructure and Agro-Industries Division
Agriculture and Consumer Protection";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2003-12";"es";"urban areas";"Urban Tenure";"";"BGD;ESP;MDG;GTM;TZA;ECU;COG;SEN;THA";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/94c6f8ea-9657-557f-b8c3-c0c4fc19f8a7";"http://www.fao.org/3/a-y4312s.pdf";"http://www.fao.org/documents/contents/9978643b-a1d3-586c-80de-28e6fc0ac97a_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"33"
"FAODOCREP:70760999-3d4f-4e92-ab5d-f1eeadfa817d";"Rapport de la 20ème session de la Commission des forêts et de la faune sauvage pour l'Afrique";"";"Forestry Department
Rozas, Dominique (FOE)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-12";"fr";"sustainable land management;forest land;forestry policies;natural resources management;forest management plans";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"KEN;EGY;NGA;LSO;MLI;ZWE;BWA;COG;DJI;ETH";"Reports & Research";"http://www.fao.org/documents/card/en/c/70760999-3d4f-4e92-ab5d-f1eeadfa817d";"http://www.fao.org/3/a-mq105f.pdf";"http://www.fao.org/documents/contents/c503896c-04b9-48d8-9b87-c94a82ebc7cc_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"40"
"FAODOCREP:6583af7b-782d-4c5f-936e-1e7af0fb6d08";"Nouvelles approches des niveaux d’émissions de référence pour les forêts et/ou niveaux de référence pour les forêts dans le contexte de la REDD+";"&lt;p&gt;Les informations contenues dans ce document correspondent à la situation en octobre 2014. Pour une vue d’ensemble des plus récentes soumissions de NERF/NRF à la CCNUCC, veuillez consulter &lt;a href=""http://redd.unfccc.int/fact-sheets/forest-reference-emission-levels.html""&gt;ce lien.&lt;/a&gt; &lt;/p&gt;Cette publication a pour objectif de fournir des informations aux pays qui cherchent à élaborer des niveaux d’émissions de référence et/des niveaux de référence pour les forêts (NERF/NRF) dans le contexte de la REDD+ en présentant un aperçu, mis à jour régulièrement, des approches adoptées au cours d’activités de démonstration REDD+ et des soumissions à la CCNUCC. Elle présente donc une série d’approches et d’options méthodologiques appliquées pour créer des NERF/NRF dans le cadre de la REDD+.";"Forestry Department
Sandker, M.
Forest Assessment, Management and Conservation Division ";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-12";"fr";"deforestation;climate change;land degradation;forest land";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"NPL;LAO;142;JPN;VNM;CHL;MDG;GTM;IDN;002;GHA;COG;019;GUY;CRI;MEX;BRA;COD";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/6583af7b-782d-4c5f-936e-1e7af0fb6d08";"http://www.fao.org/3/a-i4846f.pdf";"http://www.fao.org/documents/contents/8f3a8283-d8d9-4e56-bfb1-8a5ab6c0f317_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"54"
"FAODOCREP:aa3d34b7-ed63-526e-9394-095176646a60";"Final Report FAO Regional Consultation for Latin America on Voluntary Guidelines on Responsible Governance of Tenure of Land and Other Natural Resources. South America and Mexico.";"";"arial
Land and Water Division
Deputy Directory-General Natural Resources ";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2010-12";"en";"land policies;land;land use planning;natural resources management;land use;land administration;urban areas;land economics;land tax;urban planning;land rights;land access;land management;land transfers;land reform;landlessness;land ownership";"Land & Investments;Urban Tenure";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security";"019;BRA;CHL;PER;COL;ECU;TTO;SUR;ARG;VEN;BOL;GUY;PRY;MEX;URY";"Reports & Research";"http://www.fao.org/documents/card/en/c/aa3d34b7-ed63-526e-9394-095176646a60";"http://www.fao.org/3/a-al413e.pdf";"http://www.fao.org/documents/contents/596f896a-299a-5dbb-92d1-4e8d56ab33a4_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"20"
