ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"FAODOCREP:b985445a-bea3-42f6-8bff-fc93666e3f1c";"Estudios de caso sobre la asignación de cuotas de derecho transferibles en la pesca";"FAO Documento técnico de pesca 411: El informe, que consiste en 23 estudios, describe la forma en que se ha llevado a cabo la asignación inicial de las cuotas de esfuerzo transferibles o de captura con arreglo a los distintos regímenes pesqueros en diversas regiones del mundo.Disponibles solo en inglés.";"Shotton, R.
Fisheries and Aquaculture Department
FAO FI";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2001-11";"es";"land governance;land tenure";"";"Access to Land & Tenure Security";"150;BEL;ESP;CHL;DEU;DNK;AUS;IRL;CAN;ISL;019;009;NZL;USA;ZAF;POL;NLD;GBR;MEX;NOR;CUB";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/b985445a-bea3-42f6-8bff-fc93666e3f1c";"http://www.fao.org/3/a-y2684s.pdf";"http://www.fao.org/documents/contents/2eb8bf55-0225-4b2f-8c16-cfd9370695b1_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"373"
"FAODOCREP:349696df-29f3-4a32-8060-12f5fa4d474e";"Herramienta Garantía de calidad - control de calidad (GC_CC) y verificación";"La herramienta Garantía de calidad - control de calidad (GC-CC) y verificación es parte de las Herramientas de análisis de emisiones del sector AFOLU, destinadas a apoyar a los países miembros a países miembro para mejorar la capacidad nacional de satisfacer los requisitos de presentación de informes de la Convención Marco de las Naciones Unidas sobre Cambio Climático (CMNUCC), y para diseñar acciones de política climática (i.e. los inventarios de GEI, las Medidas de Mitigación Apropiadas para cada País – NAMAs y las Contribuciones Nacionales Determinadas – INDCs) para el sector de la agricultura, la silvicultura y otros usos de la tierra (AFOLU, por sus siglas en inglés). La herramienta GC-CC y verificación permite a los usuarios comparar datos del Inventario Nacional de GEI del sector AFOLU reportados a la CMNUCC con los datos correspondientes de la base de datos de emisiones de FAOSTAT.";"";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-03";"es";"land use mapping";"";"Land Use, Management & Investment";"";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/349696df-29f3-4a32-8060-12f5fa4d474e";"http://www.fao.org/3/a-i5493s.pdf";"http://www.fao.org/documents/contents/34f3728c-cfcf-4d03-b38d-858749174de6_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"11"
"FAODOCREP:c101743f-804c-445c-b4f8-db1167f15273";"Mid-term evaluation of  the Forest and Farm Facility programme: Country Case Reports";"This report is a mid-term evaluation (MTE) of the Forest and Farm Facility (FFF), one of the first “umbrella programmes” within the Food and Agriculture Organization of the United Nations (FAO). In support of the programme vision, “Smallholders, communities and indigenous peoples’ organizations have improved their livelihoods and decision-making over forest and farm landscapes”, FFF activities were organized under three working areas or pillars: i) Strengthen smallholder, women, community and indigenous peoples’ producer organizations for business/livelihoods and policy engagement; ii) Catalyze multi-sectoral stakeholder policy platforms with governments at local and country levels; iii) Link local voices and learning to global processes through communication and information dissemination.";"FAO OED";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-12";"en";"sustainable land management;farmers organizations;forest land;forestry policies";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"CHL;142;USA;KEN;ZMB;GMB;SWE;DEU;GTM;002;AUS;BOL;019;MMR;FIN;NPL;LBR;NIC;VNM;CRI;ITA;GBR;MEX";"Reports & Research";"http://www.fao.org/documents/card/en/c/c101743f-804c-445c-b4f8-db1167f15273";"http://www.fao.org/3/a-bq505e.pdf";"http://www.fao.org/documents/contents/b436a837-11d2-4972-880e-755868dfa1af_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"74."
"FAODOCREP:78f66330-a74d-4b40-b979-bef6e7b6ba3d";"Transboundary Agro-Ecosystem Management Programme for the Kagera River Basin";"The Project will provide the basis for sustainable transboundary management of the Kagera basin and its land resources and agro-ecosystems. Activities will take into account gender issues, access to resources and conflict resolution. 1. Enhanced regional collaboration, information sharing and monitoring; 2. Enabling policy, planning and legislative conditions; 3. Increased stakeholder capacity and knowledge at all levels for promoting integrated agro-ecosystems management; 4. Adoption of improved land use systems and management practices generating improved livelihoods and environmental services; 5. Project management structures operational and effective.";"";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2010-12";"en";"sustainable land management";"Land, Climate change & Environment";"Land Use, Management & Investment";"TZA;RWA;002;UGA;BDI;ITA";"Policy Papers & Briefs";"http://www.fao.org/documents/card/en/c/78f66330-a74d-4b40-b979-bef6e7b6ba3d";"http://www.fao.org/3/a-au250e.pdf";"http://www.fao.org/documents/contents/5afe7194-4548-4437-96c4-e6c73c1c3988_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"2"
"FAODOCREP:e425b359-f372-40a4-bfb0-3024913029bf";"Contribuciones a la Gobernanza de la FAO";"Meeting Name: North American Forest Commission
Meeting symbol/code: FO:NAFC/2016/10
Session: Sess. 28";"Paola Giondini (FOE)
Forestry Department";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2015-12";"es";"sustainable land management;forest land;land governance;forestry policies";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"KEN";"Reports & Research";"http://www.fao.org/documents/card/en/c/e425b359-f372-40a4-bfb0-3024913029bf";"http://www.fao.org/3/a-mp328s.pdf";"http://www.fao.org/documents/contents/25aecb04-c959-4ba5-9119-0fc8cace8828_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"5"
"FAODOCREP:98dab213-8cb1-5a2b-b9ce-ffe3502b39cb";"Making the most of agricultural investment";"Recent years have witnessed a renewed interest in agricultural investment. In  many cases, this new momentum has translated into large-scale acquisitions  of farmland in lower- and middle-income countries. Partly as a result of  sustained media attention, these acquisitions have triggered lively if polarised  debates about “land grabbing”. Less attention has been paid, however, to  alternative ways of structuring agricultural investments that do not involve  large-scale land acquisitions. These include a wide range of more collaborative  arrangements between large-scale investors and local small-scale farmers and  communities, such as diverse types of contract farming schemes, joint  ventures, management contracts and new supply chain relationships.";"Deputy Directory-General Natural Resources 
Andy Smith
Land and Water Division
Vermeulen S.";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2010-12";"en";"land governance;farmland;land use;land administration;land economics;land rights;land access;right of access;land management;land tenure;landowners;land ownership;land";"";"Land Use, Management & Investment;Access to Land & Tenure Security";"HND;USA;KEN;MLI;GBR;GHA;PNG;ETH;COL;MOZ;JPN;ZAF;MEX;MYS;MWI;MDG;ITA;NLD;ARG;IND;VNM;BRA";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/98dab213-8cb1-5a2b-b9ce-ffe3502b39cb";"http://www.fao.org/3/a-al297e.pdf";"http://www.fao.org/documents/contents/ba9b2180-666f-5dd6-be43-da5a4e706474_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"106"
"FAODOCREP:d2643ed9-816f-41d1-84d4-bfcdb86d73d5";"تقرير الدورة الثالثة والعشرين للجنة الغابات";"Meeting Name: FAO Committee on Forestry
Meeting symbol/code: COFO 2016/REP
Session: Sess. 23";"Mona Anbar (CPAM)
Forestry Department";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2016-12";"ar";"sustainable land management;forest land;sustainable development;forest monitoring and assessment;forestry policies";"Land, Climate change & Environment;Forest Tenure";"Land Use, Management & Investment";"";"Reports & Research";"http://www.fao.org/documents/card/en/c/d2643ed9-816f-41d1-84d4-bfcdb86d73d5";"http://www.fao.org/3/a-mr526a.pdf";"http://www.fao.org/documents/contents/d979bbf8-77f0-436c-a2a4-451e6f54e950_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"27"
"FAODOCREP:39b3f6d8-cc7e-5e8c-8f4f-81d9f6196b71";"Recursos naturales y medio ambiente boletn informativo";"En este nmero es nuestro propsito analizar los planes en curso con vistas al lanzamiento de la Alianza Global por el Recurso Suelo, una iniciativa ambiciosa destinada a apoyar los esfuerzos mundiales encaminados a resolver los problemas comunes relacionados con la ordenacin de suelos. Tambin examinamos un proyecto regional enfocado en la asistencia a cuatro pases andinos Bolivia, Colombia, Ecuador y Per que hacen frente a problemas relacionados con la adaptacin al cambio climtico y la gestin riesgos en casos de desastre en el sector agrcola. Por ltimo, les invitamos a participar en una conferencia en lnea sobre cuestiones vinculadas con las polticas y prcticas en materia de asignacin de recursos hdricos en Asia, con un particular enfoque en la agricultura.";"Deputy Directory-General Natural Resources 
Office of Assistant Director-General (Natural Resources Management and Environment Department)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2011-12";"es";"sustainable land management;natural resources management;water management;environment;natural disasters;land management";"Land, Climate change & Environment";"Land Use, Management & Investment";"ECU;BOL;019;142;COL;PER";"Reports & Research";"http://www.fao.org/documents/card/en/c/39b3f6d8-cc7e-5e8c-8f4f-81d9f6196b71";"http://www.fao.org/3/a-am605s.pdf";"http://www.fao.org/documents/contents/fb948ca0-01d0-5a16-bab3-89fe3862f264_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"2"
"FAODOCREP:be97ef06-4b02-469e-aa8d-1ee56722ff65";"Unasylva: Restauración de bosques y paisajes";"La publicación de este número de Unasylva coincide con dos importantes acontecimientos para el sector forestal. Las 196 Partes en la Convención Marco de las Naciones Unidas sobre el Cambio Climático acaban de reunirse en París en la Conferencia sobre el Cambio Climático para negociar un importante acuerdo sobre el clima. También, en París, el Foro Mundial de Paisajes 2015 es sede de debates de alto nivel sobre investigación y políticas relativas al uso de la tierra. La restauración de bosques y paisajes es una pieza clave de este rompecabezas.";"";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2015-12";"es";"protected areas;sustainable land management;land use planning;land management;forest land;land degradation";"Land, Climate change & Environment;Rangelands, Drylands & Pastoralism;Forest Tenure";"Land Use, Management & Investment";"BFA;KEN;SLV;CHL;GTM;CHN;CAN;COG;CRI;URY;RWA;UGA;COL;ECU;BRA;GHA";"Journal Articles & Books";"http://www.fao.org/documents/card/en/c/be97ef06-4b02-469e-aa8d-1ee56722ff65";"http://www.fao.org/3/a-i5212s.PDF";"http://www.fao.org/documents/contents/f3b2c869-0b09-4596-a968-de435c6b3094_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"116"
"FAODOCREP:c593cbe2-ab10-4c86-a2ce-3b64e8713cfa";"Report of the Twenty-fifth Session of the Asia and Pacific Commission on Agricultural Statistics (APCAS)";"This publication presents the outcome of the twenty-fifth session of the Asia and Pacific Commission on Agricultural Statistics (APCAS) held in Vientiane, Lao People’s Democratic Republic from 18 to 21 February 2014. Attended by 87 participants, including 64 delegates from 19 APCAS member countries, the session assessed both the current status of food and agriculture statistics in member countries and progress made in implementation of the both the Global Strategy to Improve Agricultural and Rural Statistics in the region and the World Programme for the Census of Agriculture 2010. Other topics discussed were developments and analysis of food security statistics, archiving and dissemination of data from censuses and surveys, advances in economic statistics relating to the agricultural sector, and strengthening the collection and analysis of sex-disaggregated data on land ownership.";"Economic and Social Group";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"Food and Agriculture Organization of the United Nations (FAO)";"2014-12";"en";"capacity building;land ownership";"";"Access to Land & Tenure Security";"FJI;BGD;USA;WSM;CHN;LKA;IDN;AUS;142;KOR;THA;PAK;JPN;MDV;MYS;PHL;MMR;KHM;IND;BTN;GEO";"Reports & Research";"http://www.fao.org/documents/card/en/c/c593cbe2-ab10-4c86-a2ce-3b64e8713cfa";"http://www.fao.org/3/a-i3833e.pdf";"http://www.fao.org/documents/contents/27846768-ac73-42a8-86b0-8322022d6b28_200.tn";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"54"
