ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Language;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"NARCIS:ut:oai:ris.utwente.nl:publications/9f03f34b-d0a0-428b-9e8e-d2c6a4aca96c";"An assessment of female participation in minor irrigation systems of Sri Lanka";"";"";"van der Molen, I.
Faculty of Behavioural, Management and Social Sciences
Department of Governance and Technology for Sustainability";"";"International Water Management Institute";"NARCIS";"2001-12-31";"en";"households;land ownership;women;women";"Land & Gender;Land Stakeholders & Institutions;Socio-Economic & Institutional Context";"LKA";"Journal Articles & Books";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F9f03f34b-d0a0-428b-9e8e-d2c6a4aca96c";"https://research.utwente.nl/en/publications/an-assessment-of-female-participation-in-minor-irrigation-systems-of-sri-lanka(9f03f34b-d0a0-428b-9e8e-d2c6a4aca96c).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"";"women;METIS-202422;Statistics;Sri Lanka;Water scarcity;Water resources;Land ownership;farmers’ associations;IR-42644;Rehabilitation;Farmer participation;Households;Leadership;Decision Making;Gender;rain";""
"NARCIS:ut:oai:ris.utwente.nl:publications/11ea768e-5207-4e79-a2c0-f6343f34f615";"A systems approach to land registration and cadastre";"";"";"Zevenbergen, J.A.
Faculty of Geo-Information Science and Earth Observation
Department of Urban and Regional Planning and Geo-Information Management
UT-I-ITC-PLUS";"";"";"NARCIS";"2004-12-31";"en";"land registration";"";"";"Journal Articles & Books";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F11ea768e-5207-4e79-a2c0-f6343f34f615";"https://research.utwente.nl/en/publications/a-systems-approach-to-land-registration-and-cadastre(11ea768e-5207-4e79-a2c0-f6343f34f615).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"14";"ADLIB-ART-3094;PGM;Land registration;Cadastre;Systems approach;Static and dynamic model";""
"NARCIS:ut:oai:ris.utwente.nl:publications/7024db7e-8e18-4b61-8acc-dcf4a9b28b02";"Introducing Fit-For-Purpose Land Administration in Ecuador";"";"";"Todorovski, D.
Salazar, Rodolfo
Jacome, Ginella
Bermeo, Antonio
Teran, Andrea
Orellana, Esteban
Zambrano, Fatima
Mejia, Raul
Department of Urban and Regional Planning and Geo-Information Management
Faculty of Geo-Information Science and Earth Observation
UT-I-ITC-PLUS";"";"";"NARCIS";"2017-12-05";"en";"land administration";"Land Stakeholders & Institutions";"";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F7024db7e-8e18-4b61-8acc-dcf4a9b28b02";"https://research.utwente.nl/en/publications/introducing-fitforpurpose-land-administration-in-ecuador(7024db7e-8e18-4b61-8acc-dcf4a9b28b02).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"7";"land administration;fit for purpose";""
"NARCIS:ut:oai:ris.utwente.nl:publications/e71d4154-74c0-45c4-a880-bb9a7441657d";"Participation, Innovative Approaches and Customary Cadastres: A Practical Experiment in Nanton, Ghana";"";"The dearth of land information on customary lands limits the development and application of land consolidation. This paper presents and discusses the results of an experiment carried out to test the potential of participatory land administration applied on customary lands in support of land consolidation. The concept of Participatory Land Administration (PLA) which is developed in the context of the evolution of crowdsourced, volunteered, and participatory approaches provides new insights into neogeography and neocadastre, and fit-for-purpose and pro-poor land administration. The experiment’s area of interest is in Northern Ghana, a village called Nanton, where the local farming community was engaged to develop the process. The study involved collecting land information relating to farms over a two-week period, using a mobile app and an orthophoto, based on PLA. The results show that though PLA can potentially support land consolidation, further investigation is needed on how it can be integrated into the formal land registration system.";"Asiama, K.O.
Bennett, R.M.
Zevenbergen, J.A.
Department of Urban and Regional Planning and Geo-Information Management
Faculty of Geo-Information Science and Earth Observation
UT-I-ITC-PLUS";"";"World Bank Group";"NARCIS";"2018-03-21";"en";"land administration;land consolidation";"Land Stakeholders & Institutions";"";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2Fe71d4154-74c0-45c4-a880-bb9a7441657d";"https://research.utwente.nl/en/publications/participation-innovative-approaches-and-customary-cadastres(e71d4154-74c0-45c4-a880-bb9a7441657d).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"";"Participation;Land Consolidation;Innovative Approaches;Land Administration;Customary Lands";""
"NARCIS:ut:oai:ris.utwente.nl:publications/d1aa3a1b-2e76-472a-bb35-1e233d488e3b";"Land administration in Ecuador; Current situation and opportunities with adoption of fit-for-purpose land administration approach";"";"The aim of this paper is to explore current land administration situation in Ecuador and identify opportunities for fit-for-purpose (FFP) land administration approach that could improve the land administration functions for the country and its citizens. In this paper, initially literature about land administration, guidelines to improve and assessment frameworks for land administration are presented. The FFP land administration basic concept with three frameworks which are: spatial, legal and institutional frameworks are reviewed. In addition, a fieldwork for collecting data about the status of land administration in Ecuador is performed. Results from the fieldwork in Ecuador are observed in reflection of the basic concept of FFP land administration. Here, positive developments and areas for improvement are identified. Finally recommendations based on the outcome of this paper are presented.";"Todorovski, D.
Salazar, Rodolfo
Jacome, Ginella
Bermeo, Antonio
Orellana, Esteban
Zambrano, Fatima
Teran, Andrea
Mejia, Raul
Department of Urban and Regional Planning and Geo-Information Management
Faculty of Geo-Information Science and Earth Observation
UT-I-ITC-PLUS";"";"World Bank Group";"NARCIS";"2018-03-22";"en";"land administration";"Land Stakeholders & Institutions";"ECU";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2Fd1aa3a1b-2e76-472a-bb35-1e233d488e3b";"https://research.utwente.nl/en/publications/land-administration-in-ecuador-current-situation-and-opportunities-with-adoption-of-fitforpurpose-land-administration-approach(d1aa3a1b-2e76-472a-bb35-1e233d488e3b).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"11";"Land Administration;fit for purpose;FFP;Ecuador;approach";""
"NARCIS:ut:oai:ris.utwente.nl:publications/4fa078dd-3490-42b7-b7c9-16a7cf104260";"UAV für das Kadaster - das EU-Projekt its4land";"";"";"Gerke, Markus
Stöcker, Claudia
Crommelinck, S.
Koeva, M.N.
Department of Earth Observation Science
Faculty of Geo-Information Science and Earth Observation
UT-I-ITC-ACQUAL
Department of Urban and Regional Planning and Geo-Information Management
UT-I-ITC-PLUS";"";"";"NARCIS";"2018-02-19";"de";"land administration";"Land Stakeholders & Institutions";"";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F4fa078dd-3490-42b7-b7c9-16a7cf104260";"https://research.utwente.nl/en/publications/uav-fur-das-kadaster--das-euprojekt-its4land(4fa078dd-3490-42b7-b7c9-16a7cf104260).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"";"UAV;Land Administration;photogrammetry";""
"NARCIS:ut:oai:ris.utwente.nl:publications/295d4122-3c13-43c8-a3d4-f4def535da89";"Displacement and Land Administration. The Case of post conflict Rwanda : powerpoint";"";"";"Todorovski, D.
Potel, Jossam
Department of Urban and Regional Planning and Geo-Information Management
UT-I-ITC-PLUS
Faculty of Geo-Information Science and Earth Observation";"";"";"NARCIS";"2018-06-29";"en";"displacement;land administration";"Land Conflicts;Land Stakeholders & Institutions";"";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F295d4122-3c13-43c8-a3d4-f4def535da89";"https://research.utwente.nl/en/publications/displacement-and-land-administration-the-case-of-post-conflict-rwanda--powerpoint(295d4122-3c13-43c8-a3d4-f4def535da89).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"15";"displacement;post-conflict;Land Administration";""
"NARCIS:ut:oai:ris.utwente.nl:publications/1fd8e686-dfee-49ab-8263-0ed7fc12aaa0";"What would title registration bring to a deeds system with high quality land information?";"";"An important part of a land administration system that is aimed at constantly reflecting the current right holders of the land and supporting the real estate market, is the system behind the registration of rights, restrictions and responsibilities. Over time the way land transactions have been evidenced, moved from oral agreements, via private conveyancing to registration of deeds, and ultimately registration of title (Larsson 1991). Although most literature sees each step in this development as providing a better system, there are countries with well operating land administration providing a high level of tenure security which legally still operate ‘only’ a deeds system (e.g. France, South-Africa and the Netherlands). In case of the Netherlands the administrative side of the cadastral records contains high quality information on the rights and right holders, derived from the registered deeds, and for many issues society relies on that information (and, ‘being a so called ‘key registration’ is even obligatory to be used by the public sector). The introduction of improved legislation in 1992 (both a revised Civil Code and the introduction of a specific Law on Cadastre and Public Registers) combined with the (early) digitalization of these administrative records, over time has further increased the quality of the information. Some (small) interventions over the years have added to this quality as well. A number of further (administrative) improvements are being considered. Although in general systems of land registration can be seen to be on a sliding scale from simple deeds to advanced title registration, in a recent study we found that there is a discontinuity somewhere on this sliding scale. Whereas it is getting harder and harder to further improve the quality of the information, the full benefits can only be reaped when the law at some point gives legal status to this information (i.c. see it as a title record). Depending on the specific context, incl. the problems experienced due to current weaknesses, power balance between stakeholders and more general e-government developments, such a jump may be warranted or not.";"Zevenbergen, J.A.
Ploeger, H.D.
Department of Urban and Regional Planning and Geo-Information Management
Faculty of Geo-Information Science and Earth Observation
UT-I-ITC-PLUS";"";"";"NARCIS";"2019-12-31";"en";"land administration";"Land Stakeholders & Institutions";"";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2F1fd8e686-dfee-49ab-8263-0ed7fc12aaa0";"https://research.utwente.nl/en/publications/what-would-title-registration-bring-to-a-deeds-system-with-high-quality-land-information(1fd8e686-dfee-49ab-8263-0ed7fc12aaa0).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"16";"Land administration;registration of deeds;registration of title";""
"NARCIS:ut:oai:ris.utwente.nl:publications/d420a2e5-9ca6-4871-93ed-ce07243fa836";"Establishment of Latin America Land Administration Network (LALAN)";"";"Networks of academic and higher education institutions are proven platforms for knowledge sharing and experiences in education exchange. During the International Workshop LALA LADM+, 5-9 November 2018 in Quito Ecuador, organized by Universidad de las Fuerzas Armadas ESPE (ESPE University) Ecuador and Kadaster International together with Faculty ITC University of Twente from the Netherlands, Latin America Land Administration Network - LALAN was established. Representatives from seven countries from Latin American continent, Spain and the Netherlands were present at the workshop. The objective of this network is to: perform activities that can support capacity development and sharing knowledge in both fit-for-purpose and responsible land administration within the Latin America Land Administration Network of education institutions. This paper presents the process of establishment of LALAN, the network’s objective and planned activities for the coming period.";"Todorovski, D.
Salazar, Rodolfo
Jacome, Ginella
Lemmen, C.H.J.
Department of Urban and Regional Planning and Geo-Information Management
UT-I-ITC-PLUS
Faculty of Geo-Information Science and Earth Observation";"";"";"NARCIS";"2019-04-24";"en";"capacity building;land administration";"Land Stakeholders & Institutions";"005;013";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2Fd420a2e5-9ca6-4871-93ed-ce07243fa836";"https://research.utwente.nl/en/publications/establishment-of-latin-america-land-administration-network-lalan(d420a2e5-9ca6-4871-93ed-ce07243fa836).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"8";"Latin America;land administration;capacity development;Higher Education;academic networks";""
"NARCIS:ut:oai:ris.utwente.nl:publications/aae57e6e-20c6-4394-a640-7be42441b80c";"Modeling The Complex Land Administration in Brazil";"";"Land administration is one of the pillars of economic development and poverty reduction. Land registration and cadastres make up an important part of land administration. In Brazil, recent initiatives attempt to build an efficient land administration to overcome its deficiencies built from a history of disorderly occupation and with many specificities of a colonial past. The objective of this paper is to present the land registration process in urban areas in Brazil using modeling of land administration. The purpose is to present in a model the procedures for three scenarios of the registration and transfer of urban properties: 1. Procedures for transfer a formally registered; 2. Procedures for registration of a semi-formal property (individual proceeding); and 3. Procedures for the registration of an informal settlement (collective proceeding). From the models it was possible to visualize the complexity of the procedures of registration and transfer of a property in the urban area. The procedures usually have many steps, many actors involved, it requires a lot of time and it has high costs. In addition, the procedures show the absence of an urban cadastre that supports land registration. In conclusion, in Brazil, despite recent developments of legal framework and practices related to land, does not have a complete land administration system. The legal framework is extensive and often contradictory, processes are complex, expensive and take long, and there is still a long way until land and the information about land may be effectively managed.";"Bernardes Vasquez, L.
Zevenbergen, J.A.
Todorovski, D.
Reydon, Bastiaan
Department of Urban and Regional Planning and Geo-Information Management
UT-I-ITC-PLUS
Faculty of Geo-Information Science and Earth Observation";"";"";"NARCIS";"2019-04-25";"en";"land administration;land registration";"Land Stakeholders & Institutions";"BRA";"Conference Papers & Reports";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2Faae57e6e-20c6-4394-a640-7be42441b80c";"https://research.utwente.nl/en/publications/modeling-the-complex-land-administration-in-brazil(aae57e6e-20c6-4394-a640-7be42441b80c).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"21";"land administration;Land registration;Models;Brazil";""
"NARCIS:ut:oai:ris.utwente.nl:publications/c42e7e9d-cbdc-41b5-b0e2-88d1452dc4a5";"Towards Cadastral Intelligence?: Extracting visible boundaries from UAV data through image analysis and machine learning";"";"The inability to access formal land registration systems fosters insecure land tenure and conflicts, especially in developing countries. This calls for low-cost and scalable mapping solutions aligning with fit-for-purpose land administration. The work presented in this article supports the UAV-based mapping of land tenure inspired by state-of-the-art approaches from remote sensing, geoinformatics and computer vision. The guiding question is how to develop an automated approach that promotes the paradigm shift towards cadastral intelligence which integrates human-based expert knowledge with automatically generated machine-based knowledge. online version:";"Crommelinck, S.C.
Koeva, M.N.
Department of Earth Observation Science
UT-I-ITC-ACQUAL
Faculty of Geo-Information Science and Earth Observation
Department of Urban and Regional Planning and Geo-Information Management
UT-I-ITC-PLUS";"";"";"NARCIS";"2019-05-15";"en";"land administration";"Land Stakeholders & Institutions";"";"Journal Articles & Books";"https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2Fc42e7e9d-cbdc-41b5-b0e2-88d1452dc4a5";"https://research.utwente.nl/en/publications/towards-cadastral-intelligence(c42e7e9d-cbdc-41b5-b0e2-88d1452dc4a5).html";"";"";"Open Access, this refers to access without restrictions, and without financial incentives. Access to the resource is gained directly, without any obstacles. From info:eu-repo/semantics/openAccess";"";"UAV;Land administration";""
